"Register","Source row(s)","Issue","Resolution","Detail"
"Road & Rail Crossing","6-31","No chainage assigned","RETAINED - sorted to end","42 record(s) have no value in the chainage column: PHW-PT-0001, PHW-RD-0001, PHW-RD-0002, PHW-RL-0001, PHW-RD-0003, PHW-RD-0004, PHW-RD-0005, PHW-RD-0006, PHW-RD-0007, PHW-RD-0008, PHW-RD-0009, PHW-RD-0010, PHW-RD-0011, PHW-RD-0012, PHW-RD-0013, PHW-RD-0014, PWG-RD-0001, PWG-RD-0002, PWG-RD-0003, PWG-RD-0004, PWG-RD-0005, PWG-CP-0001, PWG-RD-0006, PWG-RD-0007, PWG-RD-0008, PWG-RL-0001, PWG-RD-0009, PWG-RD-0010, PWG-PT-0001, PWG-RL-0002, PWG-CP-0002, PWG-CP-0003, PWG-CP-0004, PWG-RD-0011, PWG-RD-0012, PWG-RD-0013, PWG-RD-0014, PWG-RD-0015, PWG-RD-0016, PWG-RD-0017, PWG-RD-0018, PWG-RD-0019. They are genuine assets and are kept in the Master Register with a blank Chainage Start, sorted after all located records. Chainage needs to be assigned before this register can be relied on for setout."
"Foreign Service","176","Spelling in description","FLAGGED - raw text unchanged","""BDYA"" appears on 1 row(s); read as ""BYDA"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","149","Spelling in description","FLAGGED - raw text unchanged","""BYD"" appears on 1 row(s); read as ""BYDA"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","197","Spelling in description","FLAGGED - raw text unchanged","""ELECTRICITYELD"" appears on 1 row(s); read as ""ELECTRICITY ELD"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","68, 105","Spelling in description","FLAGGED - raw text unchanged","""NO POST"" appears on 2 row(s); read as ""NO POSTS"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","129","Spelling in description","FLAGGED - raw text unchanged","""TELSTA"" appears on 1 row(s); read as ""TELSTRA"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","100, 101","Spelling in description","FLAGGED - raw text unchanged","""TELSTRA COMS"" appears on 2 row(s); read as ""TELSTRA COMMS"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","262","Spelling in description","FLAGGED - raw text unchanged","""TELSTRACOMMS"" appears on 1 row(s); read as ""TELSTRA COMMS"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","219","Spelling in description","FLAGGED - raw text unchanged","""UNKNOW"" appears on 1 row(s); read as ""UNKNOWN"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","215","Spelling in description","FLAGGED - raw text unchanged","""WIRES ON"" appears on 1 row(s); read as ""WIRES ONLY (truncated)"" when deriving Utility Type / Operator / Info Source. The description column still holds the original wording."
"Foreign Service","18","Contradictory status","FLAGGED - not changed","""Included in Current Plan"" is Yes but the comment reads ""Not Included in Rev 2"". Needs resolving before the register is issued."
"Foreign Service","90-96","Not a utility","RETAINED - typed SURVEY LEVEL","7 records are described only as ""DG LEVEL"" or ""EUD LEVEL"" and appear to be survey level references rather than foreign services. Retained but typed SURVEY LEVEL so they can be filtered out."
"Foreign Service","236 records","Asset owner not stated","FLAGGED - left blank","236 of 334 records name no owner in either the description or the comments, so Operator is blank. Owner is needed for permit and notification purposes."
"Foreign Service","335","No alignment sheet","FLAGGED - not changed","No value in ""New Drawing Number (Alignment Sheet)"", so the crossing cannot be traced to a drawing."
"Foreign Service","43 of 334 records","Superseded drawing sparse","INFORMATION ONLY","The superseded drawing number is populated on only 43 records. Not an error, but it cannot be used to cross-check the remainder against the earlier revision."
"Foreign Service","29, 30","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 2,793 m: ""BYDA WATER"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","62, 63","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 5,494 m: ""BYDA TELSTRA COMMS"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","71, 72","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 6,993 m: ""FENCE LINE NO POSTS"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","74, 75","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 6,996 m: ""BYDA TELSTRA COMMSTUD"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","78, 79","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 7,021 m: ""BYDA NBN COMMS"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","107, 108","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 12,470 m: ""PUP ELECTRICITY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","118, 119","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PHW chainage 13,278 m: ""PUP COMMS DN100"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","185, 186","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 2,754 m: ""BYDA TELSTRA COMMS DN100"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","187, 188, 189, 190, 191, 192","Possible duplicate crossing","FLAGGED - not changed","6 identical records at PWG chainage 2,754 m: ""BYDA NBN COMMS DN30"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","193, 196","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 2,763 m: ""PUP ELECTRICITY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","220, 221","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 7,826 m: ""PUP ELECTRICITY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","256, 257","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 9,585 m: ""PUP ELECTRICITY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","272, 273","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 12,307 m: ""BYDA NBN COMMS DN30"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","275, 276, 277","Possible duplicate crossing","FLAGGED - not changed","3 identical records at PWG chainage 12,322 m: ""BYDA NBN COMMS DN30"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","279, 280, 281","Possible duplicate crossing","FLAGGED - not changed","3 identical records at PWG chainage 13,375 m: ""FENCE LINE NO POSTS - WIRES ONLY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","286, 287","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 15,528 m: ""FENCE LINE NO POSTS - WIRES ONLY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","295, 296","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 15,663 m: ""BYDA NBN COMMS DN30"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","322, 323","Possible duplicate crossing","FLAGGED - not changed","2 identical records at PWG chainage 24,097 m: ""PUP ELECTRICITY"". Either a genuine pair of parallel services or a double entry."
"Foreign Service","30 chainages","Multiple services at one chainage","INFORMATION ONLY","30 chainage values carry more than one foreign service. Expected where services run in a common trench, but each needs its own crossing treatment."
"Creek Crossing","23 records","Watercourse not named","FLAGGED - left blank","23 of 32 trenched creek crossings have no watercourse name in the source (e.g. PWG-CC-0001, PHW-CC-0002, PHW-CC-0003, PWG-CC-0003). Only 9 are named. Names are needed for waterway barrier works approvals."
"Creek Crossing","PWG-CC-0004","Treatment refers to a missing note","FLAGGED - not changed","Creek Bed Treatment Type reads ""NOTE 1"", but the source table supplied no notes. The referenced Table 2 and Table 3 were not provided with the file, so the treatment cannot be resolved from this register alone."
"Road & Rail Crossing","various","Trailing whitespace","NORMALISED","Method of Construction appears as ['Open Trenching '] as well as the clean value. Trimmed when loading so the column groups correctly; the source cell is unchanged."
"Road & Rail Crossing","PHW-PT-0001","Chainage disagrees with Trench Type register","FLAGGED - not changed","PHW-PT-0001 (Trees - Kieman Road) end chainage 404.867 m against the nearest Trench Type boundary 404.862 m - 5 mm apart. The schedule states it is the source of truth for open trenched crossing chainages, so the Trench Type register is the one to correct."
"Road & Rail Crossing","PHW-RD-0001","Chainage disagrees with Trench Type register","FLAGGED - not changed","PHW-RD-0001 (Access Track - Kieman Road) end chainage 1,135.000 m against the nearest Trench Type boundary 1,135.078 m - 78 mm apart. The schedule states it is the source of truth for open trenched crossing chainages, so the Trench Type register is the one to correct."
"Road & Rail Crossing","PHW-RD-0003","Chainage disagrees with Trench Type register","ROUNDING ONLY","PHW-RD-0003 (Morris Road) start chainage 4,416.743 m against the nearest Trench Type boundary 4,416.742 m - 1 mm apart. A 1-2 mm difference, so almost certainly rounding rather than a real disagreement."
"Road & Rail Crossing","PHW-RD-0003","Chainage disagrees with Trench Type register","ROUNDING ONLY","PHW-RD-0003 (Morris Road) end chainage 4,455.043 m against the nearest Trench Type boundary 4,455.042 m - 1 mm apart. A 1-2 mm difference, so almost certainly rounding rather than a real disagreement."
"Road & Rail Crossing","PHW-RD-0010","Chainage disagrees with Trench Type register","ROUNDING ONLY","PHW-RD-0010 (Second Range Crossing) start chainage 11,427.142 m against the nearest Trench Type boundary 11,427.143 m - 1 mm apart. A 1-2 mm difference, so almost certainly rounding rather than a real disagreement."
"Road & Rail Crossing","PHW-RD-0012","Chainage disagrees with Trench Type register","ROUNDING ONLY","PHW-RD-0012 (Toowoomba Cecil Plains Road) end chainage 13,346.373 m against the nearest Trench Type boundary 13,346.374 m - 1 mm apart. A 1-2 mm difference, so almost certainly rounding rather than a real disagreement."
"Road & Rail Crossing","PWG-RD-0003","Chainage disagrees with Trench Type register","FLAGGED - not changed","PWG-RD-0003 (Crockers Road) start chainage 1,857.000 m against the nearest Trench Type boundary 1,856.862 m - 138 mm apart. The schedule states it is the source of truth for open trenched crossing chainages, so the Trench Type register is the one to correct."
"Road & Rail Crossing","PWG-RL-0001","Chainage disagrees with Trench Type register","FLAGGED - not changed","PWG-RL-0001 (South Western System) end chainage 7,579.150 m against the nearest Trench Type boundary 7,579.000 m - 150 mm apart. The schedule states it is the source of truth for open trenched crossing chainages, so the Trench Type register is the one to correct."
"Road & Rail Crossing","PWG-RD-0018","Chainage disagrees with Trench Type register","FLAGGED - not changed","PWG-RD-0018 (King Street) end chainage 26,026.000 m against the nearest Trench Type boundary 26,026.470 m - 470 mm apart. The schedule states it is the source of truth for open trenched crossing chainages, so the Trench Type register is the one to correct."
"Trench Stop & Bulkhead","PWG-TS-0001 to PWG-TS-0036, PWG-BS-0001","New records in updated source","LOADED","The Trench&Bulkheads- T2W_PIPELINE.xlsm source was reissued 2026-08-17 with 37 PWG trench stop and bulkhead records that were not in the previous load. All 452 existing records are unchanged (differences are floating-point noise below 1e-11 and trailing spaces only). No records were removed from the source."
"Trench Stop & Bulkhead","PHW-BS-0001 to PHW-BS-0046","Trailing space on Utility Type","NORMALISED IN MASTER REGISTER","The reissued source writes ""Bulk Head "" with a trailing space on 46 bulkhead rows. Asset Type is stored trimmed in the Master Register; the Src sheet keeps the source text."
"Vegetation","Sheet1 rows 15-236","Chainage stated in kilometres","CONVERTED TO METRES","The takeoff states chainage in kilometres (0.06, 24.61) where every other register in this workbook uses metres. The takeoff's own SC(m)/EC(m) columns on the 70 PHW rows confirm the factor of 1000 (0.01 km -> 10 m). All 91 loaded records were multiplied by 1000. The Src - Tree Removal sheet keeps the kilometre values as stated."
"Vegetation","Sheet1 rows 15-17 and 228-230","Duplicate Pipe ID in source","FLAGGED - not loaded","The takeoff numbers PAE trees VEG_PAE001 to VEG_PAE003 twice, once at rows 15-17 (ch 0.06-0.51 km) and again at rows 228-230 (ch 7.13-7.25 km), so three IDs identify two assets each. PAE is not a section in this register so none of these rows were loaded; the collision must be resolved in the source before PAE can be brought in."
"Vegetation","Sheet1 rows 15-17, 131-236","Sections not present in this register","NOT LOADED","The takeoff covers PAE (12), PLG (24), PLE (32) and PEL (63) in addition to PHW and PWG. This register covers PHW, PWG, PPH and RHF only, so those 131 rows were held back. They are on the Src - Tree Removal sheet in full and can be loaded once the sections are confirmed as in scope."
"Trench Stop & Bulkhead / Vegetation","5 cells","Float storage precision on reload","NOTED - no practical effect","Five source cells hold values such as 235.00000000000003 and 1575.9999999999995, which store as 235 and 1576 when the Src sheet is written. The largest difference is 3.6e-12 m. The values are arithmetic noise in the source, not measurements."
"Vegetation","Sheet1 rows 15-236","Register totals cover all six sections","NOTED","The summary block at the top of the takeoff totals 222 points and 44,867.94 m2 across six sections. The 91 records loaded here total 13,250.24 m2 (PHW 8,329.04 + PWG 4,921.20). The register will not reconcile to the takeoff total until the other four sections are loaded."
"Thrust Block","PWG-TB-026 to PWG-TB-134, PHW-TB-077 to PHW-TB-101","New records in updated source","LOADED","The Thrust Block Register was reissued 24-8 carrying 134 records that were not in the previous load: 109 PWG and 25 PHW. Every one has a chainage. All 121 previously loaded records are unchanged - a field-by-field comparison of all 38 shared columns found zero differences. No record was removed. Asset IDs continue the existing three-digit numbering and none collides."
"Thrust Block","Column AP, all 255 rows","New column in source: Thrust Block Category","LOADED - column added","The reissued register adds a Thrust Block Category column classifying each block as Bend (185), Tee (39), Isolation Valve (11), Pigging Station (5), In-Line (2) or Facility (RHF) (13). The column did not exist in the previous source, so it was added to the Master Register and populated for all 255 thrust blocks, including the 121 already held. Each backfilled value is logged individually on the Edit Log."
"Thrust Block","RHF-TB-001 to RHF-TB-013","Missing chainage now explained","RESOLVED - no chainage expected","The 13 RHF records have carried no chainage since the baseline and were flagged as a gap. The new Thrust Block Category column classifies them as ""Facility (RHF) - not in pipeline index"", so they sit within the Regional Header Facility and are not positioned on the pipeline chainage. The blank is correct and is not missing data. They continue to sort to the end of the Master Register and remain outside the Chainage Index count."
"Thrust Block","Sheets 'Master Register - GIS rev E' and 'GIS - rev F'","Template residue sheets","NOT LOADED","Both GIS sheets in this workbook hold Jemena Port Kembla data (KGMS TO EGP, Eastern Gas Pipeline, drawing GAS-556-MA-AL-020) and carry no asset IDs. Neither is T2W data and neither has ever been loaded. Rows 294-312 of the LandPartners sheet, the colour legend and the eight Port Kembla survey rows, are hidden in this revision and remain excluded."
"Trench Stop & Bulkhead","442 records","Unit rate applied","RATED","Trench stops rated at $1,112.50 each. Rate supplied by J. Krasnoff-Hnatjuk on 24 Aug 2026. The rate is per trench stop, not per metre of trench: it pairs with the bulkhead rate and matches the two details on C-DWG-PTW-105.1 Rev 1, Issued for Construction, which shows a sand/hessian bag trench stop and a reinforced concrete bulkhead as separate items."
"Trench Stop & Bulkhead","47 records","Unit rate applied","RATED","Concrete bulkheads rated at $20,507.00 each. Rate supplied by J. Krasnoff-Hnatjuk on 24 Aug 2026. Detail on C-DWG-PTW-105.1 Rev 1, Issued for Construction: N32 concrete keyed into the trench walls and floor with N12 reinforcement, which is consistent with a rate an order of magnitude above a bagged trench stop."
"All other registers","961 records","No rate supplied","LEFT BLANK - not zero","Thrust blocks, trench sections, foreign services, creek crossings, road and rail crossings and vegetation carry no rate yet. Unit Rate, Quantity, Unit and Total Cost are deliberately blank on those rows rather than set to zero, so any total taken off this register is visibly incomplete rather than wrong."
"Cost columns","Total Cost ($)","Derived, not entered","FORMULA","Total Cost is =Unit Rate x Quantity on every rated row, so changing either input updates the total. Quantity is 1 on all rated rows because both rates are per item. If a rate later moves to a length or area basis, Quantity is where that goes."
"Cost formulas","Rev 5.5–5.7 sheets","Lookup ranges stopped at Master Register row 1638","FIXED — extended to 2600","The pipe, bend and valve registers were inserted in chainage order, not appended, so 562 existing records moved past the end of every cost range. 52 trench sections (18,546.7 m, about $7.13M), 29 trench stops and 103 thrust blocks were invisible to Cost Tracker - Linear, Cost Dashboard and Thrust Block Costing. Any figure read off those sheets before 28 Aug 2026 was understated."
"Master Register","Column K, rows 1452+","Drawing (Start) returned a no-match error on 223 records","FIXED — extended to 2600","The array formula searched rows 2:1451 for the trench section covering the chainage. 173 pipe, 30 bend and 20 valve records in PWG sat beyond it. All resolve now."
"Bend","All 211 records","Fitting Material and Fitting DN empty in the source","DERIVED — not source data","Material is DICL where the bend angle is one of the three standard design angles (11.25, 22.5, 45 deg) and MSCL otherwise. Verified against the 155 bends that sit at the exact chainage of a thrust block, which carry the material from the index drawings: 138 of 138 standard-angle bends are DICL and 14 of 14 non-standard are MSCL. DN follows the section — DICL 600 (PHW) / 375 (PWG), MSCL 650 / 450. If a bend is ever found that breaks the rule, correct the two cells and log it."
"Bend / Valve / Thrust Block","Cross-register","Overlapping scope between registers","FLAGGED — left for pricing to resolve","Isolation valves and pigging stations match Table 4 thrust blocks one for one (5 and 6 isolation valves, 2 and 3 pigging stations, PHW and PWG). 145 of 211 bends sit at the exact chainage of a bend thrust block. Confirmed 27 Aug 2026 that the Table 4 rate is the block only, so the fitting is priced separately on Tables 5 and 6. If a rate covering the whole assembly is ever supplied, enter it once and leave the matching line blank."
"Valve","AV and SCV records","69 air valves and 44 scour valves carried no cost anywhere","RATE LINES CREATED — still unpriced","These are the only new assets with no representation at all in the previous cost structure. Rate Library Table 6 now holds a line for each section and valve type; every rate is blank until the BoQ items are supplied."
"Valve","All 130 records","Every valve row in the Master Register was blank — rows present, all 93 columns empty","RELOADED from PHW_PWG_Valve_BOM_C.xlsx / Valve Register","Table 6, the Cost Dashboard valve line and the README all still described 129 valves. The register was claiming assets it did not hold. 130 rows loaded into the 130 blank rows, so no row count or lookup range changed."
"Valve","Record keys","Source re-keyed since the earlier load — 129 records became 130","ACCEPTED, source is authoritative","Scour valve tags renumbered, SCV Type 2 back in scope (7 locations), 2 scour valves folded into isolation valve pits. Source reconciles to PC02 claim quantities with nil variance on all 6 arrangements."
"Valve","Rate ($ each)","Source carries a rate for all 130 valves; Table 6 was unpriced","LOADED into Rate Library Table 6, 20 lines","$10,855,597 total, reconciled valve by valve against the source. Rates sit on Table 6 only; the Master Register reads them by lookup on section|class|type."
"Valve / Thrust Block","IV and PIG records","13 isolation valves and pigging stations are priced here AND carry a thrust block on Table 4","FLAGGED — now carries $4,397,887","Table 4 is still unpriced so nothing double counts today. Price those blocks without checking the BoQ and it will. Same warning as Rev 5.8, but it is money now."
"Valve","6 schedule locations","5 pigging stations and 1 offtake valve & flow meter are in the IFC schedule but not the source register","NOT LOADED — out of scope at source","Pigging station design on hold; OV & FM refers to M-DWG-PTW-109 & 110. Listed on ""Excluded from BOM"" in the source file."
"Valve","PHW chainages","Scour valve chainages in the source are rounded to the nearest metre on PHW","LOADED AS SUPPLIED","Source flags this itself. PWG chainages are given to the millimetre. Affects which pipe segment a PHW scour valve falls in at the margin."
"Bend","All PWG records","Every PWG bend row in the Master Register was blank — rows present, all columns empty","RELOADED from PWG_DN375_Pipeline_Setout.xlsx / PWG DN375 Setout","Same failure as the valves in Rev 6. Rate Library Table 5, the Cost Dashboard bend line and the README all still described 211 bends while the register held only the 108 PHW records. 118 hollow rows were found and filled; 7 further records were appended at rows 2217–2223."
"Bend","4 setout rows","Setout reads ""22.5° & 11.25° HOR. BEND"" at 17,433.278 / 18,166.781 / 18,181.794 / 25,162.559 m","SPLIT — one record per fitting","Two bends of different angles at the one chainage cannot share a record, because Bend Rate Class is derived from a single angle and each prices on a different Table 5 line. Recorded as two records each, giving 125 PWG bends against the 117 the previous load carried. Reversible: delete the 11.25° record of each pair if the BoQ prices the pair as one item."
"Bend","PWG chainage 8,450.400 m","Setout reads ""37.6° COMPOUND. BEND(H:37.1°, V:6.1°)""","RESULTANT RECORDED — components in Comments","Asset Type COMPOUND, Type of Bend 37.6°, Mitred 2-cut. Follows the two PHW compound bends (PHW-BND-079, PHW-BND-093), which likewise carry a single angle."
"Bend","Column CJ, all bends","Bend Rate Class returned ""45."" for whole-number angles","FIXED — formula rewritten","TEXT(45,""0.##"") emits the decimal point, so ""45."" was compared against Rate Library key ""PHW|45"" / ""PWG|45"" and never matched. 19 PHW and 16 PWG 45° bends would have returned a blank rate the moment a 45° rate was entered. No money moved — Table 5 is still unpriced."
"Bend","Rate Library Table 5, column G","Bend counts were typed, not counted","REPLACED WITH COUNTIFS","The typed counts totalled 211 (PHW 94 / PWG 117) and had not moved when 14 PHW bends were added on 9 Mar 2026. All 10 lines now count the Master Register live, so the table cannot drift again. PHW now reads 108, PWG 125, total 233."
"Bend","PHW-BND-108","Duplicate of PHW-BND-001","FLAGGED — not changed","PHW-BND-108 carries the same chainage (18.832 m), Asset ID (PHW-BND-001), angle and material as PHW-BND-001. It looks like a bad append rather than a second bend. Pre-existing; left alone because it is a PHW record and outside this load."
"Bend","Record count","Register claimed 211 bends, held 108","RESOLVED — 233 after this load","108 PHW (unchanged) + 125 PWG. The PWG figure is what the DN375 setout table states, taken as the source of truth. Every PWG bend carries Source File and Source Row back to the setout cell."
